batch	lang	kind	n	files	ids
pt.untrue.03	pt	untrue	19	chapters/iteration.pt.qmd,chapters/joining_matching.pt.qmd,chapters/missing_data.pt.qmd,chapters/network_drives.pt.qmd,chapters/packages_suggested.pt.qmd,chapters/pivoting.pt.qmd,chapters/regression.pt.qmd	iteration.pt#2,iteration.pt#3,iteration.pt#4,iteration.pt#6,joining_matching.pt#1,joining_matching.pt#2,joining_matching.pt#4,missing_data.pt#1,missing_data.pt#2,network_drives.pt#1,network_drives.pt#2,packages_suggested.pt#1,pivoting.pt#1,pivoting.pt#2,regression.pt#2,regression.pt#3,regression.pt#4,regression.pt#5,regression.pt#6
pt.untrue.04	pt	untrue	19	chapters/regression.pt.qmd,chapters/reportfactory.pt.qmd,chapters/rmarkdown.pt.qmd,chapters/shiny_basics.pt.qmd,chapters/standardization.pt.qmd,chapters/stat_tests.pt.qmd,chapters/survey_analysis.pt.qmd	regression.pt#7,reportfactory.pt#3,reportfactory.pt#4,reportfactory.pt#5,rmarkdown.pt#1,rmarkdown.pt#7,rmarkdown.pt#8,rmarkdown.pt#13,rmarkdown.pt#14,shiny_basics.pt#1,shiny_basics.pt#2,shiny_basics.pt#3,shiny_basics.pt#4,shiny_basics.pt#5,shiny_basics.pt#10,standardization.pt#2,stat_tests.pt#1,survey_analysis.pt#1,survey_analysis.pt#2
pt.untrue.05	pt	untrue	19	chapters/survey_analysis.pt.qmd,chapters/survival_analysis.pt.qmd,chapters/tables_descriptive.pt.qmd,chapters/tables_presentation.pt.qmd	survey_analysis.pt#3,survival_analysis.pt#2,survival_analysis.pt#3,survival_analysis.pt#4,survival_analysis.pt#5,survival_analysis.pt#6,survival_analysis.pt#7,survival_analysis.pt#11,tables_descriptive.pt#1,tables_descriptive.pt#2,tables_descriptive.pt#3,tables_descriptive.pt#4,tables_descriptive.pt#5,tables_descriptive.pt#6,tables_descriptive.pt#9,tables_descriptive.pt#10,tables_descriptive.pt#11,tables_presentation.pt#1,tables_presentation.pt#2
pt.untrue.06	pt	untrue	14	chapters/tables_presentation.pt.qmd,chapters/time_series.pt.qmd,chapters/transition_to_r.pt.qmd,chapters/transmission_chains.pt.qmd,chapters/writing_functions.pt.qmd	tables_presentation.pt#3,time_series.pt#3,transition_to_r.pt#1,transition_to_r.pt#2,transition_to_r.pt#3,transition_to_r.pt#4,transition_to_r.pt#5,transition_to_r.pt#6,transition_to_r.pt#8,transition_to_r.pt#9,transmission_chains.pt#1,transmission_chains.pt#4,transmission_chains.pt#5,writing_functions.pt#1
pt.missing.01	pt	missing	17	chapters/basics.pt.qmd,chapters/characters_strings.pt.qmd,chapters/cleaning.pt.qmd,chapters/collaboration.pt.qmd,chapters/combination_analysis.pt.qmd,chapters/contact_tracing.pt.qmd,chapters/data_used.pt.qmd,chapters/editorial_style.pt.qmd	basics.pt#1,basics.pt#8,characters_strings.pt#5,cleaning.pt#1,cleaning.pt#4,cleaning.pt#5,collaboration.pt#1,collaboration.pt#2,collaboration.pt#4,combination_analysis.pt#2,contact_tracing.pt#2,contact_tracing.pt#3,data_used.pt#1,data_used.pt#2,data_used.pt#5,data_used.pt#6,editorial_style.pt#1
pt.missing.02	pt	missing	17	chapters/editorial_style.pt.qmd,chapters/epicurves.pt.qmd,chapters/ggplot_tips.pt.qmd,chapters/heatmaps.pt.qmd,chapters/help.pt.qmd,chapters/importing.pt.qmd,chapters/interactive_plots.pt.qmd,chapters/iteration.pt.qmd	editorial_style.pt#2,epicurves.pt#3,epicurves.pt#5,epicurves.pt#7,ggplot_tips.pt#1,ggplot_tips.pt#2,ggplot_tips.pt#3,heatmaps.pt#10,heatmaps.pt#11,help.pt#1,help.pt#2,importing.pt#1,importing.pt#3,importing.pt#4,importing.pt#7,interactive_plots.pt#1,iteration.pt#1
pt.missing.03	pt	missing	16	chapters/iteration.pt.qmd,chapters/regression.pt.qmd,chapters/rmarkdown.pt.qmd,chapters/stat_tests.pt.qmd,chapters/survey_analysis.pt.qmd,chapters/survival_analysis.pt.qmd,chapters/tables_descriptive.pt.qmd,chapters/transition_to_r.pt.qmd	iteration.pt#5,regression.pt#1,rmarkdown.pt#2,rmarkdown.pt#3,rmarkdown.pt#4,stat_tests.pt#2,stat_tests.pt#3,survey_analysis.pt#4,survey_analysis.pt#5,survey_analysis.pt#6,survey_analysis.pt#7,survival_analysis.pt#8,survival_analysis.pt#9,survival_analysis.pt#10,tables_descriptive.pt#8,transition_to_r.pt#7
pt.code_mismatch.01	pt	code_mismatch	18	chapters/age_pyramid.pt.qmd,chapters/basics.pt.qmd,chapters/characters_strings.pt.qmd,chapters/cleaning.pt.qmd,chapters/deduplication.pt.qmd,chapters/diagrams.pt.qmd,chapters/directories.pt.qmd,chapters/ggplot_basics.pt.qmd,chapters/grouping.pt.qmd	age_pyramid.pt#2,age_pyramid.pt#3,age_pyramid.pt#5,basics.pt#4,characters_strings.pt#1,characters_strings.pt#2,characters_strings.pt#3,characters_strings.pt#4,cleaning.pt#2,cleaning.pt#3,deduplication.pt#4,diagrams.pt#2,directories.pt#1,ggplot_basics.pt#1,ggplot_basics.pt#2,ggplot_basics.pt#3,grouping.pt#1,grouping.pt#2
pt.code_mismatch.02	pt	code_mismatch	18	chapters/grouping.pt.qmd,chapters/heatmaps.pt.qmd,chapters/importing.pt.qmd,chapters/joining_matching.pt.qmd,chapters/missing_data.pt.qmd	grouping.pt#3,grouping.pt#4,grouping.pt#5,heatmaps.pt#2,heatmaps.pt#3,heatmaps.pt#4,heatmaps.pt#5,heatmaps.pt#6,heatmaps.pt#7,heatmaps.pt#8,heatmaps.pt#9,heatmaps.pt#12,heatmaps.pt#13,importing.pt#2,importing.pt#5,joining_matching.pt#3,missing_data.pt#3,missing_data.pt#4
pt.code_mismatch.03	pt	code_mismatch	17	chapters/phylogenetic_trees.pt.qmd,chapters/r_projects.pt.qmd,chapters/reportfactory.pt.qmd,chapters/rmarkdown.pt.qmd,chapters/shiny_basics.pt.qmd,chapters/standardization.pt.qmd,chapters/tables_descriptive.pt.qmd,chapters/time_series.pt.qmd,chapters/writing_functions.pt.qmd	phylogenetic_trees.pt#1,r_projects.pt#1,reportfactory.pt#1,reportfactory.pt#2,rmarkdown.pt#6,rmarkdown.pt#9,rmarkdown.pt#10,rmarkdown.pt#11,shiny_basics.pt#6,shiny_basics.pt#7,shiny_basics.pt#8,standardization.pt#1,tables_descriptive.pt#7,time_series.pt#1,time_series.pt#2,writing_functions.pt#2,writing_functions.pt#3
pt.added.01	pt	added	12	chapters/basics.pt.qmd,chapters/characters_strings.pt.qmd,chapters/data_table.pt.qmd,chapters/data_used.pt.qmd,chapters/epicurves.pt.qmd,chapters/errors.pt.qmd,chapters/factors.pt.qmd	basics.pt#2,basics.pt#3,characters_strings.pt#6,data_table.pt#1,data_used.pt#3,data_used.pt#4,epicurves.pt#2,epicurves.pt#4,epicurves.pt#8,errors.pt#1,errors.pt#2,factors.pt#3
pt.added.02	pt	added	12	chapters/ggplot_basics.pt.qmd,chapters/help.pt.qmd,chapters/interactive_plots.pt.qmd,chapters/network_drives.pt.qmd,chapters/regression.pt.qmd,chapters/rmarkdown.pt.qmd,chapters/shiny_basics.pt.qmd,chapters/tables_descriptive.pt.qmd,chapters/tables_presentation.pt.qmd,chapters/transmission_chains.pt.qmd	ggplot_basics.pt#5,help.pt#4,interactive_plots.pt#3,network_drives.pt#3,regression.pt#8,rmarkdown.pt#5,rmarkdown.pt#12,shiny_basics.pt#9,tables_descriptive.pt#12,tables_presentation.pt#4,transmission_chains.pt#2,transmission_chains.pt#3
pt.alignment_mismatch.01	pt	alignment_mismatch	1	chapters/survival_analysis.pt.qmd	survival_analysis.pt#1
ru.untrue.01	ru	untrue	16	chapters/age_pyramid.ru.qmd,chapters/basics.ru.qmd,chapters/cleaning.ru.qmd,chapters/collaboration.ru.qmd,chapters/data_used.ru.qmd,chapters/dates.ru.qmd,chapters/deduplication.ru.qmd	age_pyramid.ru#1,age_pyramid.ru#2,basics.ru#2,basics.ru#3,basics.ru#6,cleaning.ru#1,cleaning.ru#2,collaboration.ru#1,collaboration.ru#2,collaboration.ru#3,collaboration.ru#4,collaboration.ru#5,data_used.ru#1,data_used.ru#6,dates.ru#1,deduplication.ru#1
ru.untrue.02	ru	untrue	16	chapters/diagrams.ru.qmd,chapters/factors.ru.qmd,chapters/flexdashboard.ru.qmd,chapters/ggplot_basics.ru.qmd,chapters/ggplot_tips.ru.qmd,chapters/grouping.ru.qmd,chapters/heatmaps.ru.qmd,chapters/help.ru.qmd	diagrams.ru#1,factors.ru#2,flexdashboard.ru#1,flexdashboard.ru#2,flexdashboard.ru#3,ggplot_basics.ru#1,ggplot_basics.ru#2,ggplot_basics.ru#3,ggplot_basics.ru#4,ggplot_basics.ru#6,ggplot_tips.ru#1,ggplot_tips.ru#4,grouping.ru#3,heatmaps.ru#1,heatmaps.ru#2,help.ru#1
ru.untrue.03	ru	untrue	16	chapters/importing.ru.qmd,chapters/iteration.ru.qmd,chapters/joining_matching.ru.qmd,chapters/missing_data.ru.qmd,chapters/moving_average.ru.qmd,chapters/phylogenetic_trees.ru.qmd,chapters/pivoting.ru.qmd,chapters/regression.ru.qmd,chapters/reportfactory.ru.qmd,chapters/rmarkdown.ru.qmd,chapters/shiny_basics.ru.qmd	importing.ru#4,iteration.ru#2,joining_matching.ru#1,missing_data.ru#3,moving_average.ru#3,phylogenetic_trees.ru#1,pivoting.ru#1,regression.ru#2,regression.ru#3,reportfactory.ru#1,reportfactory.ru#3,reportfactory.ru#4,rmarkdown.ru#1,rmarkdown.ru#2,rmarkdown.ru#4,shiny_basics.ru#1
ru.untrue.04	ru	untrue	14	chapters/shiny_basics.ru.qmd,chapters/standardization.ru.qmd,chapters/survival_analysis.ru.qmd,chapters/tables_descriptive.ru.qmd,chapters/time_series.ru.qmd,chapters/transition_to_r.ru.qmd,chapters/writing_functions.ru.qmd	shiny_basics.ru#2,standardization.ru#1,standardization.ru#4,survival_analysis.ru#1,survival_analysis.ru#2,tables_descriptive.ru#1,tables_descriptive.ru#9,time_series.ru#2,transition_to_r.ru#2,transition_to_r.ru#3,transition_to_r.ru#4,transition_to_r.ru#5,writing_functions.ru#2,writing_functions.ru#5
ru.missing.01	ru	missing	18	chapters/age_pyramid.ru.qmd,chapters/basics.ru.qmd,chapters/characters_strings.ru.qmd,chapters/cleaning.ru.qmd,chapters/combination_analysis.ru.qmd,chapters/contact_tracing.ru.qmd,chapters/data_used.ru.qmd,chapters/dates.ru.qmd,chapters/deduplication.ru.qmd,chapters/diagrams.ru.qmd	age_pyramid.ru#3,basics.ru#4,basics.ru#5,basics.ru#7,basics.ru#8,characters_strings.ru#1,characters_strings.ru#2,cleaning.ru#3,combination_analysis.ru#1,contact_tracing.ru#1,contact_tracing.ru#2,data_used.ru#2,data_used.ru#3,dates.ru#2,dates.ru#3,dates.ru#4,deduplication.ru#2,diagrams.ru#2
ru.missing.02	ru	missing	18	chapters/diagrams.ru.qmd,chapters/editorial_style.ru.qmd,chapters/epicurves.ru.qmd,chapters/factors.ru.qmd,chapters/flexdashboard.ru.qmd	diagrams.ru#4,diagrams.ru#5,editorial_style.ru#1,epicurves.ru#2,factors.ru#3,factors.ru#4,factors.ru#5,factors.ru#6,factors.ru#7,factors.ru#8,factors.ru#9,factors.ru#10,factors.ru#11,factors.ru#12,factors.ru#13,factors.ru#14,factors.ru#15,flexdashboard.ru#4
ru.missing.03	ru	missing	18	chapters/flexdashboard.ru.qmd,chapters/ggplot_basics.ru.qmd,chapters/grouping.ru.qmd,chapters/importing.ru.qmd,chapters/interactive_plots.ru.qmd,chapters/joining_matching.ru.qmd,chapters/missing_data.ru.qmd,chapters/moving_average.ru.qmd	flexdashboard.ru#5,flexdashboard.ru#6,ggplot_basics.ru#5,grouping.ru#2,grouping.ru#4,grouping.ru#5,grouping.ru#6,importing.ru#2,importing.ru#3,interactive_plots.ru#1,interactive_plots.ru#2,interactive_plots.ru#3,joining_matching.ru#2,missing_data.ru#1,missing_data.ru#2,missing_data.ru#4,moving_average.ru#1,moving_average.ru#2
ru.missing.04	ru	missing	18	chapters/packages_suggested.ru.qmd,chapters/pivoting.ru.qmd,chapters/reportfactory.ru.qmd,chapters/rmarkdown.ru.qmd,chapters/shiny_basics.ru.qmd,chapters/standardization.ru.qmd,chapters/survival_analysis.ru.qmd,chapters/tables_descriptive.ru.qmd	packages_suggested.ru#1,pivoting.ru#2,reportfactory.ru#2,reportfactory.ru#5,reportfactory.ru#6,reportfactory.ru#7,reportfactory.ru#8,rmarkdown.ru#3,rmarkdown.ru#5,shiny_basics.ru#3,shiny_basics.ru#4,shiny_basics.ru#5,standardization.ru#5,standardization.ru#6,standardization.ru#7,standardization.ru#8,survival_analysis.ru#3,tables_descriptive.ru#2
ru.missing.05	ru	missing	14	chapters/tables_descriptive.ru.qmd,chapters/tables_presentation.ru.qmd,chapters/transition_to_r.ru.qmd,chapters/transmission_chains.ru.qmd,chapters/writing_functions.ru.qmd	tables_descriptive.ru#3,tables_descriptive.ru#4,tables_descriptive.ru#5,tables_descriptive.ru#6,tables_descriptive.ru#7,tables_descriptive.ru#8,tables_descriptive.ru#10,tables_presentation.ru#2,transition_to_r.ru#1,transmission_chains.ru#1,transmission_chains.ru#2,transmission_chains.ru#3,writing_functions.ru#3,writing_functions.ru#4
ru.code_mismatch.01	ru	code_mismatch	17	chapters/basics.ru.qmd,chapters/diagrams.ru.qmd,chapters/ggplot_basics.ru.qmd,chapters/ggplot_tips.ru.qmd,chapters/importing.ru.qmd,chapters/iteration.ru.qmd,chapters/regression.ru.qmd,chapters/standardization.ru.qmd,chapters/tables_presentation.ru.qmd,chapters/time_series.ru.qmd,chapters/transmission_chains.ru.qmd,chapters/writing_functions.ru.qmd	basics.ru#1,diagrams.ru#3,ggplot_basics.ru#7,ggplot_tips.ru#2,ggplot_tips.ru#3,ggplot_tips.ru#5,ggplot_tips.ru#6,importing.ru#1,iteration.ru#1,iteration.ru#3,regression.ru#1,standardization.ru#2,tables_presentation.ru#3,tables_presentation.ru#4,time_series.ru#1,transmission_chains.ru#4,writing_functions.ru#1
ru.added.01	ru	added	10	chapters/data_used.ru.qmd,chapters/epicurves.ru.qmd,chapters/factors.ru.qmd,chapters/standardization.ru.qmd,chapters/survival_analysis.ru.qmd,chapters/tables_presentation.ru.qmd	data_used.ru#4,data_used.ru#5,data_used.ru#7,epicurves.ru#1,epicurves.ru#3,epicurves.ru#4,factors.ru#1,standardization.ru#3,survival_analysis.ru#4,tables_presentation.ru#1
ru.alignment_mismatch.01	ru	alignment_mismatch	1	chapters/grouping.ru.qmd	grouping.ru#1
tr.untrue.01	tr	untrue	18	chapters/age_pyramid.tr.qmd,chapters/basics.tr.qmd,chapters/characters_strings.tr.qmd	age_pyramid.tr#1,age_pyramid.tr#2,age_pyramid.tr#3,basics.tr#1,basics.tr#3,basics.tr#6,basics.tr#7,basics.tr#8,basics.tr#9,basics.tr#10,basics.tr#14,basics.tr#17,basics.tr#18,basics.tr#20,characters_strings.tr#1,characters_strings.tr#3,characters_strings.tr#6,characters_strings.tr#8
tr.untrue.02	tr	untrue	18	chapters/characters_strings.tr.qmd,chapters/cleaning.tr.qmd,chapters/collaboration.tr.qmd,chapters/combination_analysis.tr.qmd,chapters/contact_tracing.tr.qmd,chapters/data_used.tr.qmd,chapters/dates.tr.qmd,chapters/deduplication.tr.qmd	characters_strings.tr#9,cleaning.tr#1,cleaning.tr#2,cleaning.tr#6,cleaning.tr#12,cleaning.tr#13,collaboration.tr#1,collaboration.tr#6,collaboration.tr#7,combination_analysis.tr#1,combination_analysis.tr#2,contact_tracing.tr#1,data_used.tr#4,data_used.tr#7,data_used.tr#8,dates.tr#1,deduplication.tr#1,deduplication.tr#6
tr.untrue.03	tr	untrue	18	chapters/deduplication.tr.qmd,chapters/diagrams.tr.qmd,chapters/directories.tr.qmd,chapters/editorial_style.tr.qmd,chapters/epicurves.tr.qmd,chapters/errors.tr.qmd,chapters/factors.tr.qmd	deduplication.tr#7,diagrams.tr#2,diagrams.tr#3,diagrams.tr#4,diagrams.tr#7,directories.tr#2,editorial_style.tr#3,editorial_style.tr#4,editorial_style.tr#5,editorial_style.tr#6,editorial_style.tr#7,epicurves.tr#1,epicurves.tr#7,errors.tr#4,errors.tr#5,errors.tr#6,errors.tr#9,factors.tr#4
tr.untrue.04	tr	untrue	18	chapters/factors.tr.qmd,chapters/flexdashboard.tr.qmd,chapters/ggplot_basics.tr.qmd,chapters/ggplot_tips.tr.qmd,chapters/grouping.tr.qmd	factors.tr#8,flexdashboard.tr#1,flexdashboard.tr#4,flexdashboard.tr#5,ggplot_basics.tr#1,ggplot_basics.tr#2,ggplot_basics.tr#3,ggplot_basics.tr#5,ggplot_basics.tr#6,ggplot_basics.tr#7,ggplot_basics.tr#8,ggplot_basics.tr#9,ggplot_tips.tr#7,ggplot_tips.tr#8,ggplot_tips.tr#9,ggplot_tips.tr#10,grouping.tr#3,grouping.tr#4
tr.untrue.05	tr	untrue	18	chapters/heatmaps.tr.qmd,chapters/help.tr.qmd,chapters/interactive_plots.tr.qmd,chapters/iteration.tr.qmd,chapters/joining_matching.tr.qmd,chapters/missing_data.tr.qmd	heatmaps.tr#1,help.tr#1,help.tr#3,interactive_plots.tr#1,interactive_plots.tr#2,interactive_plots.tr#3,interactive_plots.tr#5,interactive_plots.tr#6,iteration.tr#1,iteration.tr#6,iteration.tr#7,joining_matching.tr#2,joining_matching.tr#3,missing_data.tr#4,missing_data.tr#6,missing_data.tr#9,missing_data.tr#10,missing_data.tr#11
tr.untrue.06	tr	untrue	18	chapters/missing_data.tr.qmd,chapters/moving_average.tr.qmd,chapters/network_drives.tr.qmd,chapters/phylogenetic_trees.tr.qmd,chapters/pivoting.tr.qmd,chapters/r_projects.tr.qmd,chapters/regression.tr.qmd,chapters/rmarkdown.tr.qmd	missing_data.tr#12,missing_data.tr#13,moving_average.tr#1,moving_average.tr#2,moving_average.tr#3,moving_average.tr#4,moving_average.tr#5,network_drives.tr#3,phylogenetic_trees.tr#3,pivoting.tr#1,pivoting.tr#2,r_projects.tr#1,regression.tr#1,regression.tr#5,regression.tr#7,regression.tr#10,regression.tr#11,rmarkdown.tr#1
tr.untrue.07	tr	untrue	18	chapters/rmarkdown.tr.qmd,chapters/shiny_basics.tr.qmd,chapters/standardization.tr.qmd,chapters/survey_analysis.tr.qmd	rmarkdown.tr#3,rmarkdown.tr#4,shiny_basics.tr#1,shiny_basics.tr#2,shiny_basics.tr#4,shiny_basics.tr#5,shiny_basics.tr#6,shiny_basics.tr#7,shiny_basics.tr#8,shiny_basics.tr#12,shiny_basics.tr#14,shiny_basics.tr#15,standardization.tr#2,standardization.tr#3,survey_analysis.tr#1,survey_analysis.tr#2,survey_analysis.tr#3,survey_analysis.tr#4
tr.untrue.08	tr	untrue	16	chapters/survey_analysis.tr.qmd,chapters/survival_analysis.tr.qmd,chapters/tables_descriptive.tr.qmd,chapters/tables_presentation.tr.qmd,chapters/transition_to_r.tr.qmd	survey_analysis.tr#5,survey_analysis.tr#6,survey_analysis.tr#7,survival_analysis.tr#2,survival_analysis.tr#3,tables_descriptive.tr#3,tables_descriptive.tr#6,tables_descriptive.tr#8,tables_descriptive.tr#9,tables_descriptive.tr#10,tables_descriptive.tr#11,tables_descriptive.tr#14,tables_presentation.tr#3,transition_to_r.tr#1,transition_to_r.tr#2,transition_to_r.tr#9
tr.missing.01	tr	missing	19	chapters/age_pyramid.tr.qmd,chapters/basics.tr.qmd,chapters/characters_strings.tr.qmd,chapters/cleaning.tr.qmd,chapters/collaboration.tr.qmd,chapters/combination_analysis.tr.qmd	age_pyramid.tr#4,age_pyramid.tr#5,basics.tr#2,basics.tr#4,basics.tr#11,basics.tr#12,basics.tr#15,characters_strings.tr#7,characters_strings.tr#10,cleaning.tr#4,cleaning.tr#8,cleaning.tr#10,cleaning.tr#11,collaboration.tr#2,collaboration.tr#3,collaboration.tr#4,collaboration.tr#5,collaboration.tr#8,combination_analysis.tr#4
tr.missing.02	tr	missing	19	chapters/combination_analysis.tr.qmd,chapters/data_table.tr.qmd,chapters/data_used.tr.qmd,chapters/deduplication.tr.qmd,chapters/directories.tr.qmd,chapters/editorial_style.tr.qmd	combination_analysis.tr#5,combination_analysis.tr#6,data_table.tr#1,data_used.tr#1,data_used.tr#2,data_used.tr#5,data_used.tr#6,deduplication.tr#2,deduplication.tr#3,deduplication.tr#5,directories.tr#3,directories.tr#4,directories.tr#5,directories.tr#6,directories.tr#7,directories.tr#8,directories.tr#9,directories.tr#10,editorial_style.tr#1
tr.missing.03	tr	missing	19	chapters/editorial_style.tr.qmd,chapters/epicurves.tr.qmd,chapters/errors.tr.qmd,chapters/factors.tr.qmd,chapters/flexdashboard.tr.qmd,chapters/ggplot_tips.tr.qmd,chapters/grouping.tr.qmd	editorial_style.tr#2,epicurves.tr#2,epicurves.tr#4,epicurves.tr#5,epicurves.tr#6,errors.tr#1,errors.tr#7,errors.tr#10,errors.tr#11,errors.tr#12,errors.tr#13,factors.tr#1,factors.tr#5,factors.tr#6,factors.tr#7,factors.tr#9,flexdashboard.tr#3,ggplot_tips.tr#1,grouping.tr#1
tr.missing.04	tr	missing	19	chapters/heatmaps.tr.qmd,chapters/help.tr.qmd,chapters/importing.tr.qmd,chapters/interactive_plots.tr.qmd,chapters/iteration.tr.qmd,chapters/missing_data.tr.qmd,chapters/network_drives.tr.qmd,chapters/phylogenetic_trees.tr.qmd	heatmaps.tr#2,heatmaps.tr#3,help.tr#2,help.tr#4,help.tr#5,help.tr#6,importing.tr#1,importing.tr#3,importing.tr#4,importing.tr#5,interactive_plots.tr#4,iteration.tr#2,missing_data.tr#3,missing_data.tr#5,missing_data.tr#8,network_drives.tr#1,network_drives.tr#2,phylogenetic_trees.tr#1,phylogenetic_trees.tr#2
tr.missing.05	tr	missing	19	chapters/pivoting.tr.qmd,chapters/regression.tr.qmd,chapters/rmarkdown.tr.qmd,chapters/shiny_basics.tr.qmd,chapters/stat_tests.tr.qmd,chapters/survey_analysis.tr.qmd,chapters/survival_analysis.tr.qmd,chapters/tables_descriptive.tr.qmd	pivoting.tr#6,pivoting.tr#7,regression.tr#8,regression.tr#9,rmarkdown.tr#2,shiny_basics.tr#10,shiny_basics.tr#11,shiny_basics.tr#13,shiny_basics.tr#17,stat_tests.tr#3,stat_tests.tr#4,stat_tests.tr#5,stat_tests.tr#6,survey_analysis.tr#8,survey_analysis.tr#9,survival_analysis.tr#4,survival_analysis.tr#5,tables_descriptive.tr#1,tables_descriptive.tr#2
tr.missing.06	tr	missing	17	chapters/tables_descriptive.tr.qmd,chapters/tables_presentation.tr.qmd,chapters/time_series.tr.qmd,chapters/transition_to_r.tr.qmd,chapters/transmission_chains.tr.qmd,chapters/writing_functions.tr.qmd	tables_descriptive.tr#7,tables_descriptive.tr#15,tables_presentation.tr#2,tables_presentation.tr#4,time_series.tr#4,time_series.tr#5,transition_to_r.tr#3,transition_to_r.tr#5,transition_to_r.tr#6,transition_to_r.tr#7,transition_to_r.tr#8,transmission_chains.tr#1,transmission_chains.tr#3,transmission_chains.tr#4,transmission_chains.tr#5,transmission_chains.tr#7,writing_functions.tr#4
tr.code_mismatch.01	tr	code_mismatch	17	chapters/basics.tr.qmd,chapters/characters_strings.tr.qmd,chapters/cleaning.tr.qmd,chapters/combination_analysis.tr.qmd,chapters/contact_tracing.tr.qmd,chapters/dates.tr.qmd,chapters/deduplication.tr.qmd	basics.tr#5,basics.tr#16,basics.tr#19,characters_strings.tr#2,characters_strings.tr#4,characters_strings.tr#5,characters_strings.tr#11,cleaning.tr#5,cleaning.tr#7,combination_analysis.tr#3,contact_tracing.tr#2,dates.tr#2,dates.tr#3,dates.tr#4,dates.tr#5,deduplication.tr#4,deduplication.tr#8
tr.code_mismatch.02	tr	code_mismatch	17	chapters/diagrams.tr.qmd,chapters/directories.tr.qmd,chapters/errors.tr.qmd,chapters/factors.tr.qmd,chapters/ggplot_basics.tr.qmd,chapters/ggplot_tips.tr.qmd,chapters/grouping.tr.qmd	diagrams.tr#1,diagrams.tr#5,directories.tr#1,errors.tr#2,errors.tr#3,errors.tr#8,factors.tr#2,factors.tr#3,ggplot_basics.tr#4,ggplot_basics.tr#10,ggplot_tips.tr#2,ggplot_tips.tr#3,ggplot_tips.tr#4,ggplot_tips.tr#5,ggplot_tips.tr#6,grouping.tr#2,grouping.tr#5
tr.code_mismatch.03	tr	code_mismatch	17	chapters/grouping.tr.qmd,chapters/importing.tr.qmd,chapters/iteration.tr.qmd,chapters/joining_matching.tr.qmd,chapters/missing_data.tr.qmd,chapters/pivoting.tr.qmd,chapters/regression.tr.qmd	grouping.tr#6,grouping.tr#7,importing.tr#2,iteration.tr#3,iteration.tr#4,iteration.tr#5,joining_matching.tr#1,missing_data.tr#1,missing_data.tr#2,missing_data.tr#7,pivoting.tr#3,pivoting.tr#4,pivoting.tr#5,regression.tr#2,regression.tr#3,regression.tr#4,regression.tr#6
tr.code_mismatch.04	tr	code_mismatch	14	chapters/shiny_basics.tr.qmd,chapters/standardization.tr.qmd,chapters/stat_tests.tr.qmd,chapters/survival_analysis.tr.qmd,chapters/tables_descriptive.tr.qmd,chapters/tables_presentation.tr.qmd,chapters/time_series.tr.qmd,chapters/transmission_chains.tr.qmd,chapters/writing_functions.tr.qmd	shiny_basics.tr#3,standardization.tr#1,stat_tests.tr#2,survival_analysis.tr#1,tables_descriptive.tr#4,tables_descriptive.tr#5,tables_descriptive.tr#12,tables_descriptive.tr#13,tables_presentation.tr#1,time_series.tr#1,transmission_chains.tr#6,writing_functions.tr#1,writing_functions.tr#2,writing_functions.tr#3
tr.added.01	tr	added	10	chapters/cleaning.tr.qmd,chapters/data_used.tr.qmd,chapters/diagrams.tr.qmd,chapters/epicurves.tr.qmd,chapters/flexdashboard.tr.qmd,chapters/interactive_plots.tr.qmd,chapters/shiny_basics.tr.qmd,chapters/time_series.tr.qmd,chapters/transition_to_r.tr.qmd	cleaning.tr#9,cleaning.tr#14,data_used.tr#3,diagrams.tr#6,epicurves.tr#3,flexdashboard.tr#2,interactive_plots.tr#7,shiny_basics.tr#9,time_series.tr#2,transition_to_r.tr#4
tr.alignment_mismatch.01	tr	alignment_mismatch	5	chapters/basics.tr.qmd,chapters/cleaning.tr.qmd,chapters/stat_tests.tr.qmd,chapters/time_series.tr.qmd,chapters/transmission_chains.tr.qmd	basics.tr#13,cleaning.tr#3,stat_tests.tr#1,time_series.tr#3,transmission_chains.tr#2
vn.untrue.01	vn	untrue	19	chapters/age_pyramid.vn.qmd,chapters/basics.vn.qmd,chapters/characters_strings.vn.qmd,chapters/cleaning.vn.qmd,chapters/combination_analysis.vn.qmd,chapters/contact_tracing.vn.qmd,chapters/data_table.vn.qmd,chapters/data_used.vn.qmd,chapters/dates.vn.qmd	age_pyramid.vn#1,basics.vn#1,basics.vn#2,basics.vn#3,basics.vn#4,basics.vn#5,basics.vn#8,characters_strings.vn#1,cleaning.vn#2,cleaning.vn#3,combination_analysis.vn#1,contact_tracing.vn#1,contact_tracing.vn#2,data_table.vn#1,data_table.vn#2,data_used.vn#6,dates.vn#1,dates.vn#5,dates.vn#6
